,,Undergraduate Terms Offered - ACCT-ENVR,,,,
,X-Offered AY-Offered in alternating years AN-Offered as needed VAR-Offered varying by year,,,,,
"If there is no specific term listed for a course, contact your advisor or the department offering the course.",,,,,,
AS,BIO 473,Seminar in Biological Science,,,X,
AS,BIO 497,Research,X,X,X,X
B,BLAW 201,Business Law I,X,X,X,X
B,BLAW 202,Business Law II,X,X,X,X
B,BLAW 321,Law of Business Organizations,,X,X,X
B,BLAW 330,Real Estate,,X,X,
B,BLAW 334,Labor Law,,X,,
B,BLAW 338,Govt Regulation Business,,X,,X
B,BLAW 340,International Business Law,X,X,X,X
B,BLAW 342,Criminal Law,X,,X,X
B,BLAW 346,Entrepreneur Law,X,,X,X
B,BLAW 348,White Collar Crime,,X,X,X
B,BLAW 356,Legal Issues Corp Governance,,,,X
B,BLAW 358,Employment Law,X,,,
B,BLAW 360,Intellectual Prop/Cyber Law,,X,X,
B,BLAW 481,Special Topics in Business Law,AN,AN,AN,AN
R,BMES 125,Foundns of Biomed Engineering,X,,X,
R,BMES 212,The Body Synthetic,,X,,X
R,BMES 301,Lab I: Exp Biomechanics,X,,X,
R,BMES 302,Lab II: Biomeasurements,X,,X,
R,BMES 303,Lab III: Biomed Electronics,,X,,X
R,BMES 304,Lab IV: Ultrasound Images,X,,X,
R,BMES 305,Lab V:Musculoskel Anat for BME,X,,X,
,,,,,,
R,BMES 310,Biomedical Statistics,,X,,X
R,BMES 315,Exp Design in Biomed Research,X,,X,
R,BMES 325,Princ of Biomed Eng I,X,,X,
R,BMES 326,Princ of Biomed Eng II,,X,,X
R,BMES 335,Biomedical Informatics I,X,,,
R,BMES 336,Hosp & Pat Info/Informatics II,,X,,
R,BMES 338,Biomedical Ethics and Law,X,,X,
R,BMES 340,Health Care Administration,,X,,X
R,BMES 350,Med & Bio Effects Of Light,,X,,X
R,BMES 372,Biosimulation,X,,X,
R,BMES 375,Computational Bioengineering,,X,,X
R,BMES 381,Junior Design Seminar I,X,,X,
R,BMES 382,Junior Design Seminar II,,X,,X
R,BMES 391,Biomedical Instrumentation I,X,,,
R,BMES 392,Biomedical Instrumentation II,,X,,
R,BMES 401,Biosensors I,X,,X,
R,BMES 402,Biosensors II,,X,,X
R,BMES 405,Physiological Control Systems,,X,,X
R,BMES 409,Entrepreneurship for BMES,X,X,X,X
R,BMES 411,Chronoengr I: Bio Rhythms,X,,X,
R,BMES 412,Chronoengr II: Sleep Functions,,X,,X
R,BMES 421,Biomed Imaging Sys. I: Images,X,,,
R,BMES 422,Biomed Imaging Systems II,,X,,
R,BMES 423,Biomed Imaging Systems III,,,X,
R,BMES 430,Neur Asp of Posture & Locomot,X,,X,
R,BMES 432,Biomed Systems and Signals,X,,,
R,BMES 440,Introduction to Biodynamics,X,,,
R,BMES 441,Biomechanics I:,X,,,
R,BMES 442,Biomechanics II,,X,,
R,BMES 443,Biomechanics III,,,X,
R,BMES 444,Biofluid Mechanics,,,X,
R,BMES 451,Trans. Phenomena in Living Sys,X,X,,X
R,BMES 460,Biomaterials I,X,,,
R,BMES 461,Biomaterials II,,X,,
