BIO 224,"Form, Function & Evol of Verts",0111
BIO 225,Vertebrate Bio & Evolution Lab,0111
BIO 226,Microbiology for Health Prof'l,1011
BIO 231,Cell Physiology,0000
BIO 244,Genetics I,0101
BIO 254,Invertebrate Morph & Phys,0101
BIO 255,Invertebrate Morph & Phy Lab,0101
BIO 256,Vertebrate Morph & Phys,1000
BIO 264,Ethnobotany,0000
BIO 270,Development Biology,1010
BIO 271,Developmental Biology Lab,1010
BIO 284,Biology of Stress,0000
BIO 306,Biochemistry Laboratory,1111
BIO 310,Comparative Physiology,0000
BIO 311,Metabolism,1010
BIO 312,Genetically Modified Foods,0001
BIO 313,Comparative Physiology Lab,0000
BIO 314,Pharmacology,0101
BIO 318,Biology of Cancer,1010
BIO 320,Microbial Pathogenesis,0010
BIO 331,Bioinfomatics I,1000
BIO 332,Bioinformatics II,0100
BIO 333,Bioinformatics Laboratory,1000
BIO 346,Stem Cell Research,0000
BIO 368,Embryology,0001
BIO 370,Teratology,0010
BIO 386,Gross Anatomy,0101
BIO 387,Gross Anatomy Lab,0101
BIO 404,Struct/Funct of Biomolecules,1000
BIO 412,Biology of Aging,0000
BIO 413,Genomics,0000
BIO 415,Proteins,0010
BIO 420,Virology,0010
BIO 421,Biomembranes,0100
BIO 426,Immunology,1000
BIO 427,Immunology Lab,0000
BIO 430,Cell Biology of Disease,0001
BIO 433,Advanced Cell Biology,0100
BIO 434,Advanced Cell Biology Lab,0100
BIO 435,ImmunoBio of Disease,0100
BIO 444,Human Genetics,1010
BIO 445,Microbial Genetics,0000
BIO 447,Adv Genetics & Molecular Bio,0100
BIO 451,Genetic Reg Development,0000
BIO 462,Biology of Neuron Function,1000
BIO 463,Mol Mech of Neurodegeneration,0000
BIO 465,Neurobiology of Disease,0100
BIO 471,Seminar in Biological Sciences,1000
BIO 472,Seminar in Biological Science,0100
BIO 473,Seminar in Biological Science,0010
BIO 497,Research,1111
BLAW 201,Business Law I,1111
BLAW 202,Business Law II,1111
BLAW 321,Law of Business Organizations,0111
BLAW 330,Real Estate,0110
BLAW 334,Labor Law,0100
BLAW 338,Govt Regulation Business,0101
BLAW 340,International Business Law,1111
BLAW 342,Criminal Law,1011
BLAW 346,Entrepreneur Law,1011
BLAW 348,White Collar Crime,0111
BLAW 356,Legal Issues Corp Governance,0001
BLAW 358,Employment Law,1000
BLAW 360,Intellectual Prop/Cyber Law,0110
BLAW 481,Special Topics in Business Law,0000
BMES 125,Foundns of Biomed Engineering,1010
BMES 212,The Body Synthetic,0101
BMES 301,Lab I: Exp Biomechanics,1010
BMES 302,Lab II: Biomeasurements,1010
BMES 303,Lab III: Biomed Electronics,0101
BMES 304,Lab IV: Ultrasound Images,1010
BMES 305,Lab V:Musculoskel Anat for BME,1010
BMES 310,Biomedical Statistics,0101
BMES 315,Exp Design in Biomed Research,1010
BMES 325,Princ of Biomed Eng I,1010
BMES 326,Princ of Biomed Eng II,0101
BMES 335,Biomedical Informatics I,1000
BMES 336,Hosp & Pat Info/Informatics II,0100
BMES 338,Biomedical Ethics and Law,1010
BMES 340,Health Care Administration,0101
BMES 350,Med & Bio Effects Of Light,0101
BMES 372,Biosimulation,1010
BMES 375,Computational Bioengineering,0101
BMES 381,Junior Design Seminar I,1010
BMES 382,Junior Design Seminar II,0101
BMES 391,Biomedical Instrumentation I,1000
BMES 392,Biomedical Instrumentation II,0100
BMES 401,Biosensors I,1010
BMES 402,Biosensors II,0101
BMES 405,Physiological Control Systems,0101
BMES 409,Entrepreneurship for BMES,1111
BMES 411,Chronoengr I: Bio Rhythms,1010
BMES 412,Chronoengr II: Sleep Functions,0101
BMES 421,Biomed Imaging Sys. I: Images,1000
BMES 422,Biomed Imaging Systems II,0100
BMES 423,Biomed Imaging Systems III,0010
BMES 430,Neur Asp of Posture & Locomot,1010
BMES 432,Biomed Systems and Signals,1000
BMES 440,Introduction to Biodynamics,1000
BMES 441,Biomechanics I:,1000
BMES 442,Biomechanics II,0100
BMES 443,Biomechanics III,0010
BMES 444,Biofluid Mechanics,0010
BMES 451,Trans. Phenomena in Living Sys,1101
BMES 460,Biomaterials I,1000
BMES 461,Biomaterials II,0100
BMES 471,Tissue Engineering I,1000
BMES 472,Tissue Engineering II,0100
BMES 475,Biomaterials & Tissue Engr III,0010
BMES 477,Neuroengineering I,0100
BMES 478,Neuroengineering II,0010
BMES 483,Quantitative Systems Biology,0100
BMES 484,Genome Information Engineering,0010
BMES 488,Medical Device Development,0010
BMES 491,Senior Design Project I,1000
BMES 492,Senior Design Project II,0100
BMES 493,Senior Design Project III,0010
BMES 494,Clinical Practicum I,1000
BMES 495,Clinical Practicum II,0100
BMES 496,Clinical Practicum III,0010
BUSN 101,Foundations of Business I,1110
BUSN 102,Foundations of Business II,1111
BUSN 103,Adv First Year Busn Seminar,1111
BUSN 104,Career Mgmt for Non Co-op Stud,0100
BUSN 111,Foundations for Business,1111
BUSN 301,Acct & Fin for Nonfinan Prfnls,1000
BUSN 451,Business Consulting,1111
BUSN 481,Special Topics in Business,0100
BUSN 498,Special Topics in Gen Business,0010
CAE 491,Senior Design Project I,1000
CAE 492,Senior Design Project II,0100
CAE 493,Senior Design Project III,0010
CAEE 201,Intro to Infrastructure Engr,1010
CAEE 210,Measurements in CAE Engr I,0101
CAEE 211,Measurements in CAE Engr II,0101
CAT 200,Strategies: Lifelong Learning,1111
CAT 201,Interpersonal Communication,1111
CAT 301,Project Management,1101
CAT 302,Cust Service Theory & Practice,1101
CAT 303,Client Relations Management,1010
CAT 360,Appl Organizational Research,1100
CAT 491,Senior Project CAT I,0110
CAT 492,Senior Project CAT II,0010
CHE 201,Process Material Balances,1010
CHE 202,Process Energy Balances,0101
CHE 206,Basic Chem Eng Thermodynamics,0101
CHE 250,Chem Engr Process Principles,0000
CHE 301,Process Thermodynamics,1010
CHE 302,Process Fluid Mechanics,0101
CHE 303,Process Heat Transfer,1010
CHE 304,Process Mass Transfer,0101
CHE 305,Process Separations,1010
CHE 307,Process Modeling I,1010
CHE 308,Process Modeling II,0101
CHE 310,Transport Phenomena,0000
CHE 311,Fluid Flow and Transport,0000
CHE 332,Chem Engr Lab I,0101
CHE 333,Chemical Engineering Lab II,1010
CHE 334,Chemical Engineering Lab III,0101
CHE 335,Statistics &Design Experiments,0101
CHE 360,BioProcess Principles,0100
CHE 420,Process Systems Engineering,1000
CHE 424,Chem Kinetics & Reactor Design,1000
CHE 450,Chemical Process Industries,0100
CHE 451,Safety Engineering,0010
CHE 452,Polymer Process Technology,0010
CHE 460,Biochemical Engineering,0000
CHE 481,Process Design I,1000
CHE 482,Process Design II,0100
CHE 483,Process Design III,0010
CHEC 352,Phys Chem & Apps II,1110
CHEC 353,Phys Chem & Apps III,0111
CHEM 050,Preparatory Chemistry,0001
CHEM 101,General Chemistry I,1101
CHEM 102,General Chemistry II,0110
CHEM 103,General Chemistry III,1110
CHEM 108,Health Chemistry I,1000
CHEM 111,General Chemistry I,1000
CHEM 112,General Chemistry II,0100
CHEM 113,General Chemistry I Laboratory,1000
CHEM 151,Applied Chemistry,1111
CHEM 161,General Chemistry I,1011
CHEM 162,General Chemistry II,1101
CHEM 163,General Chemistry III,0011
CHEM 164,General Chemistry Laboratory I,0011
CHEM 165,General Chem Lab II,0011
CHEM 201,Why Things Work: Everyday Chem,0010
CHEM 230,Quantitative Analysis,1011
CHEM 231,Quant Analysis Laboratory,1011
CHEM 241,Organic Chemistry I,1011
CHEM 242,Organic Chemistry II,1101
CHEM 243,Organic Chemistry III,1110
CHEM 244,Organic Chemistry Laboratory I,1111
CHEM 245,Organic Chem Lab II,1111
CHEM 252,Physical Chemistry I,1100
CHEM 253,Thermodynamics & Kinetics,1000
CHEM 270,Software Skills for Chemists,0100
CHEM 346,Qualitative Organic Chemistry,1000
CHEM 355,Physical Chemistry IV,1000
CHEM 356,Physical Chemistry Lab,1010
CHEM 357,Physical Chemistry Lab I,0100
CHEM 358,Physical Chemistry Lab II,1010
CHEM 359,Atomic/Molecular Spectroscopy,0100
CHEM 364,Spectroscopic Analysis,1000
CHEM 367,Chemical Information Retrieval,1000
CHEM 420,Mol Sym & Grp Theory/ Chem,0100
CHEM 421,Inorganic Chemistry I,1000
CHEM 422,Inorganic Chemistry II,0010
CHEM 425,Inorganic Chemistry Lab,0010
CHEM 430,Analytical Chemistry I,1000
CHEM 431,Analytical Chemistry II,0100
CHEM 465,Synthetic Polymer Chemistry,1000
CHEM 466,Physical Chemistry of Polymers,0100
CHEM 493,Senior Research Project,1111
CHEM 497,Research,1111
CHIN 101,Chinese I,1111
CHIN 102,Chinese II,1111
CHIN 103,Chinese III,1111
CHIN 201,Chinese IV,1111
CHIN 202,Chinese V,1111
CHIN 203,Chinese VI: Convers & Comp,1111
CHIN 301,Chinese VII,1111
CHIN 302,Chinese VIII,1111
CHIN 303,Chinese lX,1111
CHIN 411,Intro Chinese Stylistics,1000
CHIN 431,Intro Chinese Literature,0100
CHIN 451,Intro Bus & Prof Chinese,0010
CHIN 480,Chinese Minor Thesis Course,0000
CIVE 240,Engineering Economic Analysis,1110
CIVE 250,Construction Materials,0101
CIVE 251,Engineering Surveying,1000
CIVE 261,Mater & Struct Behavior I,1000
CIVE 262,Materls & Struct Behvr II,0100
CIVE 263,Materls & Struc Behav III,0010
CIVE 300,Theory of Structures I,1010
CIVE 301,Theory of Structures II,0101
CIVE 310,Soil Mechanics I,1010
CIVE 320,Introduction to Fluid Flow,1010
CIVE 330,Hydraulics,0101
CIVE 341,Municipal Water Facilities,0000
CIVE 370,Intro To Struc Analysis,1010
CIVE 371,Intro Structural Design,0101
CIVE 372,Structural Laboratory,0101
CIVE 375,Structural Material Behavior,0101
CIVE 400,Structural Design I,1000
CIVE 401,Structural Design II,0100
CIVE 402,Structural Design III,0010
CIVE 410,Foundation Engineering,0101
CIVE 420,Water and Waste Treatment I,0000
CIVE 430,Hydrology,1010
CIVE 431,Hydrology-Ground Water,0100
CIVE 432,Water Resources Design,0000
